date,atm_name,withdrawals_total,withdrawals_xyz,withdrawals_other,amount_total,amount_xyz,amount_other,weekday,festival,working_day
2011-01-01,Christ College ATM,74.0,25.0,49.0,287700.0,148200.0,139500.0,6,C,0.0
2011-01-01,Mount Road ATM,253.0,67.0,186.0,767900.0,270900.0,497000.0,6,C,0.0
2011-01-01,KK Nagar ATM,265.0,159.0,106.0,945300.0,532600.0,412700.0,6,C,0.0
2011-01-01,Airport ATM,98.0,56.0,42.0,503400.0,347700.0,155700.0,6,C,0.0
2011-01-01,Big Street ATM,50.0,20.0,30.0,123800.0,41700.0,82100.0,6,H,0.0
2011-01-02,Christ College ATM,97.0,31.0,66.0,432000.0,158400.0,273600.0,7,NH,1.0
2011-01-02,Mount Road ATM,164.0,106.0,58.0,631800.0,476600.0,155200.0,7,NH,1.0
2011-01-02,KK Nagar ATM,221.0,183.0,38.0,958300.0,770900.0,187400.0,7,NH,1.0
2011-01-02,Airport ATM,105.0,78.0,27.0,578100.0,438700.0,139400.0,7,NH,1.0
2011-01-02,Big Street ATM,36.0,17.0,19.0,161700.0,121300.0,40400.0,7,NH,1.0
2011-01-03,Christ College ATM,92.0,39.0,53.0,479800.0,228700.0,251100.0,1,NH,1.0
2011-01-03,Mount Road ATM,197.0,107.0,90.0,730000.0,505100.0,224900.0,1,NH,1.0
2011-01-03,KK Nagar ATM,223.0,186.0,37.0,1041900.0,888500.0,153400.0,1,NH,1.0
2011-01-03,Airport ATM,119.0,101.0,18.0,519100.0,465200.0,53900.0,1,NH,1.0
2011-01-03,Big Street ATM,29.0,14.0,15.0,105800.0,65400.0,40400.0,1,NH,1.0
2011-01-04,Christ College ATM,75.0,29.0,46.0,336600.0,195200.0,141400.0,2,NH,1.0
2011-01-04,Mount Road ATM,142.0,75.0,67.0,464800.0,325400.0,139400.0,2,NH,1.0
2011-01-04,KK Nagar ATM,184.0,157.0,27.0,557300.0,508000.0,49300.0,2,NH,1.0
2011-01-04,Airport ATM,96.0,80.0,16.0,480700.0,425700.0,55000.0,2,NH,1.0
2011-01-04,Big Street ATM,43.0,20.0,23.0,134700.0,75900.0,58800.0,2,NH,1.0
2011-01-05,Christ College ATM,52.0,20.0,32.0,200300.0,79100.0,121200.0,3,N,0.0
2011-01-05,Mount Road ATM,159.0,50.0,109.0,636000.0,280600.0,355400.0,3,N,0.0
2011-01-05,KK Nagar ATM,148.0,117.0,31.0,577100.0,482900.0,94200.0,3,N,0.0
2011-01-05,Airport ATM,131.0,63.0,68.0,468900.0,306900.0,162000.0,3,N,0.0
2011-01-05,Big Street ATM,23.0,6.0,17.0,60200.0,19000.0,41200.0,3,N,0.0
2011-01-06,Christ College ATM,78.0,40.0,38.0,261600.0,93700.0,167900.0,4,NH,1.0
2011-01-06,Mount Road ATM,213.0,90.0,123.0,831200.0,463600.0,367600.0,4,NH,1.0
2011-01-06,KK Nagar ATM,252.0,192.0,60.0,1260100.0,978300.0,281800.0,4,NH,1.0
2011-01-06,Airport ATM,149.0,101.0,48.0,729400.0,533100.0,196300.0,4,NH,1.0
2011-01-06,Big Street ATM,34.0,17.0,17.0,136500.0,81800.0,54700.0,4,NH,1.0
2011-01-07,Christ College ATM,88.0,47.0,41.0,403200.0,182300.0,220900.0,5,NH,1.0
2011-01-07,Mount Road ATM,166.0,73.0,93.0,605000.0,288000.0,317000.0,5,NH,1.0
2011-01-07,KK Nagar ATM,201.0,165.0,36.0,794200.0,696300.0,97900.0,5,NH,1.0
2011-01-07,Airport ATM,115.0,93.0,22.0,500200.0,420800.0,79400.0,5,NH,1.0
2011-01-07,Big Street ATM,38.0,19.0,19.0,158800.0,85500.0,73300.0,5,NH,1.0
2011-01-08,Christ College ATM,74.0,39.0,35.0,316000.0,172300.0,143700.0,6,NH,1.0
2011-01-08,Mount Road ATM,293.0,111.0,182.0,1048100.0,399000.0,649100.0,6,NH,1.0
2011-01-08,KK Nagar ATM,226.0,170.0,56.0,1064300.0,782100.0,282200.0,6,NH,1.0
2011-01-08,Airport ATM,124.0,90.0,34.0,657800.0,544100.0,113700.0,6,NH,1.0
2011-01-08,Big Street ATM,57.0,21.0,36.0,292700.0,125800.0,166900.0,6,NH,1.0
2011-01-09,Christ College ATM,40.0,23.0,17.0,170600.0,86500.0,84100.0,7,H,0.0
2011-01-09,Mount Road ATM,114.0,25.0,89.0,315600.0,105100.0,210500.0,7,H,0.0
2011-01-09,KK Nagar ATM,187.0,106.0,81.0,821800.0,447700.0,374100.0,7,H,0.0
2011-01-09,Airport ATM,80.0,46.0,34.0,383300.0,274000.0,109300.0,7,H,0.0
2011-01-09,Big Street ATM,35.0,16.0,19.0,124000.0,80900.0,43100.0,7,H,0.0
2011-01-10,Christ College ATM,100.0,34.0,66.0,376100.0,126300.0,249800.0,1,NH,0.0
2011-01-10,Mount Road ATM,246.0,99.0,147.0,788500.0,411600.0,376900.0,1,NH,0.0
2011-01-10,KK Nagar ATM,189.0,131.0,58.0,822800.0,525400.0,297400.0,1,NH,0.0
2011-01-10,Airport ATM,143.0,107.0,36.0,721900.0,572800.0,149100.0,1,NH,0.0
2011-01-10,Big Street ATM,53.0,38.0,15.0,239500.0,192600.0,46900.0,1,NH,0.0
2011-01-11,Christ College ATM,90.0,62.0,28.0,397000.0,278800.0,118200.0,2,NH,1.0
2011-01-11,Mount Road ATM,139.0,75.0,64.0,501800.0,324700.0,177100.0,2,NH,1.0
2011-01-11,KK Nagar ATM,171.0,122.0,49.0,861900.0,578600.0,283300.0,2,NH,1.0
2011-01-11,Airport ATM,98.0,71.0,27.0,429900.0,327700.0,102200.0,2,NH,1.0
2011-01-11,Big Street ATM,38.0,19.0,19.0,183200.0,121800.0,61400.0,2,NH,1.0
2011-01-12,Christ College ATM,86.0,38.0,48.0,411900.0,193700.0,218200.0,3,NH,1.0
2011-01-12,Mount Road ATM,137.0,72.0,65.0,560100.0,357800.0,202300.0,3,NH,1.0
2011-01-12,KK Nagar ATM,230.0,160.0,70.0,1016100.0,719500.0,296600.0,3,NH,1.0
2011-01-12,Airport ATM,112.0,80.0,32.0,517900.0,398200.0,119700.0,3,NH,1.0
2011-01-12,Big Street ATM,28.0,16.0,12.0,122800.0,77500.0,45300.0,3,NH,1.0
2011-01-13,Christ College ATM,143.0,52.0,91.0,510300.0,232700.0,277600.0,4,NH,1.0
2011-01-13,Mount Road ATM,184.0,93.0,91.0,506300.0,323100.0,183200.0,4,NH,1.0
2011-01-13,KK Nagar ATM,223.0,179.0,44.0,771400.0,649500.0,121900.0,4,NH,1.0
2011-01-13,Airport ATM,103.0,81.0,22.0,411700.0,356500.0,55200.0,4,NH,1.0
2011-01-13,Big Street ATM,22.0,12.0,10.0,81200.0,53600.0,27600.0,4,NH,1.0
2011-01-14,Christ College ATM,91.0,52.0,39.0,373000.0,241300.0,131700.0,5,NH,1.0
2011-01-14,Mount Road ATM,179.0,71.0,108.0,451400.0,250300.0,201100.0,5,NH,1.0
2011-01-14,KK Nagar ATM,238.0,176.0,62.0,876400.0,684200.0,192200.0,5,NH,1.0
2011-01-14,Airport ATM,109.0,89.0,20.0,458500.0,424200.0,34300.0,5,NH,1.0
2011-01-14,Big Street ATM,25.0,16.0,9.0,91100.0,67800.0,23300.0,5,NH,1.0
2011-01-15,Christ College ATM,53.0,30.0,23.0,206800.0,133800.0,73000.0,6,H,0.0
2011-01-15,Mount Road ATM,97.0,24.0,73.0,200500.0,119500.0,81000.0,6,H,0.0
2011-01-15,KK Nagar ATM,119.0,96.0,23.0,321400.0,283100.0,38300.0,6,H,0.0
2011-01-15,Airport ATM,52.0,35.0,17.0,163300.0,139800.0,23500.0,6,H,0.0
2011-01-15,Big Street ATM,24.0,16.0,8.0,115900.0,98700.0,17200.0,6,H,0.0
2011-01-16,Christ College ATM,36.0,15.0,21.0,95200.0,46100.0,49100.0,7,H,0.0
2011-01-16,Mount Road ATM,77.0,21.0,56.0,205300.0,64400.0,140900.0,7,H,0.0
2011-01-16,KK Nagar ATM,99.0,78.0,21.0,274100.0,240100.0,34000.0,7,H,0.0
2011-01-16,Airport ATM,42.0,33.0,9.0,154100.0,132800.0,21300.0,7,H,0.0
2011-01-16,Big Street ATM,17.0,9.0,8.0,55100.0,29500.0,25600.0,7,H,0.0
2011-01-17,Christ College ATM,46.0,25.0,21.0,126800.0,69300.0,57500.0,1,H,0.0
2011-01-17,Mount Road ATM,72.0,34.0,38.0,221900.0,127100.0,94800.0,1,H,0.0
2011-01-17,KK Nagar ATM,188.0,145.0,43.0,524800.0,438800.0,86000.0,1,H,0.0
2011-01-17,Airport ATM,40.0,24.0,16.0,100000.0,79600.0,20400.0,1,H,0.0
2011-01-17,Big Street ATM,37.0,28.0,9.0,129800.0,113600.0,16200.0,1,H,0.0
2011-01-18,Christ College ATM,82.0,45.0,37.0,380000.0,216900.0,163100.0,2,NH,1.0
2011-01-18,Mount Road ATM,123.0,82.0,41.0,405200.0,360600.0,44600.0,2,NH,1.0
2011-01-18,KK Nagar ATM,225.0,159.0,66.0,831200.0,663600.0,167600.0,2,NH,1.0
2011-01-18,Airport ATM,86.0,65.0,21.0,343100.0,273100.0,70000.0,2,NH,1.0
